,text,rating,mood,lemmatized_review
4525,"Пылесос удобный, собирает мусор, пыль. Сумка классная. Зарядки хватает надолго",5,positive,"пылесос удобный, собирать мусор, пыль. сумка классный. зарядка хватать надолго
"
4526,Понравился. Удобно собрать песок с коляски и крошки после детей в машине) Отлично справляется👍,5,positive,"понравиться. удобно собирать песок с коляска и крошка после ребенок в машина) отлично справляться👍
"
4527,"Работает, хороший пылесос.",5,positive,"работать, хороший пылесос.
"
4528,"Пылесос удобный чищу мягкую мебель диваны и кресла , рекомендую к покупке.",4,positive,"пылесос удобный чистить мягкий мебель диван и кресло , рекомендовать к покупка.
"
4529,Батарея не 4000 а 700 ват полное разочарование продуктом,1,negative,"батарея не 4000 а 700 вата полный разочарование продукт
"
4530,Удобен в использовании. Сила всасывания очень порадовала,5,positive,"удобный в использование. сила всасывание очень порадовать
"
4531,"Удобный, легко убирать, рекомендую!",5,positive,"удобный, легко убирать, рекомендовать!
"
4532,"Отличный пылесос! Покупала для машины, но оказалось что это и дома полезная вещь! Ни разу не пожалела о его покупке",5,positive,"отличный пылесос! покупать для машина, но оказываться что это и дома полезный вещь! ни раз не пожалеть о его покупка
"
4533,"Классная вещь. Удобная в использовании, отлично всасывает. Насадки на все случаи жизни.",5,positive,"классный вещь. удобный в использование, отлично всасывать. насадка на весь случай жизнь.
"
4534,"Все отлично работает и всасываемость тоже отличная, муж доволен, машина чистая, рекомендую",5,positive,"все отлично работать и всасываемость тоже отличный, муж довольный, машина чистый, рекомендовать
"
4535,"Муж пропылесосил машину, сказал очень даже достойно, мощный, правда насадки ещё не освоил все, но пользоваться будет точно)",5,positive,"муж пропылесосить машина, сказать очень даже достойно, мощный, правда насадка еще не осваивать все, но пользоваться быть точно)
"
4536,"Классный пылесос, муж в восторге, в деле уже опробовал👌. Полный комплект. Продавцу спасибо!",5,positive,"классный пылесос, муж в восторг, в дело уже опробовать👌. полный комплект. продавец спасибо!
"
4537,"Ужас! Маленькие крошки всосет, остальное нет, просто ужас, даже банально иголки от ели не может всосать, 1 звезда делаю возврат!",1,negative,"ужас! маленький крошка всасывать, остальное нет, просто ужас, даже банально иголка от есть не мочь всасывать, 1 звезда делать возврат!
"
4538,Заряжаем от сети дома и вперед. Хоть улицу пылесось. Без шнура очень удобно.,5,positive,"заряжать от сеть дома и вперед. хоть улица пылесосить. без шнур очень удобно.
"
4539,"Хороший пылесос , много насадок, чехол в комплекте .",5,positive,"хороший пылесос , много насадка, чехол в комплект .
"
4540,"Очень очень слабый! Не берите! Забирала не я, так бы отказалась.",1,negative,"очень очень слабый! не брать! забирать не я, так бы отказываться.
"
4541,"Не знал, как заставить сына помогать мне с машиной. Как только купил этот пылесос - только и слышу - папа, я буду пылесосить.",5,positive,"не знать, как заставлять сын помогать я с машина. как только купить этот пылесос - только и слышать - папа, я быть пылесосить.
"
4542,"Хороший, достаточно мощный пылесос",5,positive,"хороший, достаточно мощный пылесос
"
4543,"давно мечтала, чтобы в машине был такой пылесос. мусор из щелей отлично убирает. беспроводной. класс. рекомендую!",5,positive,"давно мечтать, чтобы в машина быть такой пылесос. мусор из щель отлично убирать. беспроводный. класс. рекомендовать!
"
4544,Пылесос решил все проблемы с чисткой авто. Вожу в машине собачек. От них много грязи и шерсти. Теперь это не страшно.,5,positive,"пылесос решать весь проблема с чистка авто. возить в машина собачка. от они много грязь и шерсть. теперь это не страшный.
"
4545,Супер мне понравился 🤩,5,positive,"супер я понравиться 🤩
"
4546,Хороший пылисос для своих денег,5,positive,"хороший пылисос для свой деньги
"
4547,"Сасет как моя жена,очень хорошо",5,positive,"сасет как мой жена,очень хорошо
"
4548,Спасибо на подарок отличный,5,positive,"спасибо на подарок отличный
"
4549,"Шикпрный пылесос ,справляется",5,positive,"шикпрный пылесос ,справляться
"
4550,Хорошее качество,5,positive,"хороший качество
"
4551,Пылесос пришел целый. Все работает. Рекомендую),5,positive,"пылесос приходить целый. все работать. рекомендовать)
"
4552,"заказала отцу на подарок, давно хотел себе пылесос для машины. действительно мощный, хорошо справляется со своей задачей.",5,positive,"заказывать отец на подарок, давно хотеть себя пылесос для машина. действительно мощный, хорошо справляться со свой задача.
"
4553,"Заряд хватает не надолго, втягивает средне, за свои деньги пойдет",3,negative,"заряд хватать не надолго, втягивать средне, за свой деньги пойти
"
4554,"Коробка вся разорвана, сам пылесос весь поцарапан🤦",1,negative,"коробка весь разрывать, сам пылесос весь поцарапать🤦
"
4555,работает очень плохо как  ***  вообше не всасывает.,1,negative,"работать очень плохо как  ***  вообше не всасывать.
"
4556,"Долгая доставка, сила 23000 не соотвествует. Игрушка для ребенка-не стоит этих денег не советую .",1,negative,"долгий доставка, сила 23000 не соотвествовать. игрушка для ребенок-не стоить этот деньги не советовать .
"
4557,"Заказывал по картинке, а пришёл совсем другой и цена разная",3,negative,"заказывать по картинка, а приходить совсем другой и цена разный
"
4558,Слабовата игрушка. Со своей работой справляется не 70%.,4,negative,"слабоватый игрушка. со свой работа справляться не 70%.
"
4559,"Получила товар ,все хорошо упаковано ,все соответствует описанию ....
Неоднозначное оставил впечатления ...мусор как был так и остаётся ...",3,neutral,"получать товар ,все хорошо упаковывать ,все соответствовать описание ....
неоднозначный оставлять впечатление ...мусор как быть так и оставаться ...
"
4560,делюсь о хваленом пылесосике.....протестила...заряда даже на пол часа не хватило....как так?вчера полностью зарядила и чего?????откуда такие отзывы прекрасные....жаль денег потраченных......,3,negative,"делиться о хваленый пылесосик.....протестил...заряд даже на пол час не хватить....как так?вчера полностью заряжать и что?????откуда такой отзыв прекрасный....жаль деньги потратить......
"
4561,Забрала заказ. Не хватает самой главной насадки (плоская насадка). Очень обидно.,1,negative,"забирать заказ. не хватать самый главный насадка (плоский насадка). очень обидно.
"
4562,"До 65 мин. точно не держит заряда, для меня слабоват.",4,negative,"до 65 мина. точно не держать заряд, для я слабоватый.
"
4563,"Всё отлично, заказывала в подарок, дяде понравилось 🔥",4,positive,"все отлично, заказывать в подарок, дядя понравиться 🔥
"
4564,Был доставлен не вовремя. Испорчен праздник,2,negative,"быть доставлять не вовремя. испортить праздник
"
4565,"Заказали пылесос,такой же подарили,пришла в паз сделать отказ,а сотрудник оплату уже нажала. Возврат в таком случае делается только через связь с продавцом. Сняли фото и видео,даже не вскрывался товар, продавец не пошел на уступки. Пылесос совершенно не нужен. Из-за такой некомпетентности не советую связываться. Рассмотрите другой вариант,где заказать.",1,negative,"заказывать пылесос,такой же подарить,приходить в паз сделать отказ,а сотрудник оплата уже нажимать. возврат в такой случай делаться только через связь с продавец. снимать фото и видео,даже не вскрываться товар, продавец не пойти на уступка. пылесос совершенно не нужный. из-за такой некомпетентность не советовать связываться. рассматривать другой вариант,где заказывать.
"
4566,"К сожалению не поняла восторженных отзывов, ни о каких 60 минутах речи тут нет, разряжается примерно на 15. Всасывает кое как, хоть что-то можно убрать только с узкой щелевой насадкой, с друрими просто не сосет, нужно по крошкам елозить минут 5 чтобы убрать, на это нервов не хватает, проще уже рукой собрать. От детей часто в машине крошки, думала завести себе агрегат, чтобы за минуту убирать хоть каждый день, но увы такой агрегат даже доставать из чехла не охота, время только тратить.",2,negative,"к сожаление не понимать восторженный отзыв, ни о какой 60 минута речь тут нет, разряжаться примерно на 15. всасывать кой как, хоть что-то можно убирать только с узкий щелевой насадка, с друринимать просто не сосать, нужный по крошка елозить минута 5 чтобы убирать, на это нерв не хватать, просто уже рука собирать. от ребенок часто в машина крошка, думать заводить себя агрегат, чтобы за минута убирать хоть каждый день, но увы такой агрегат даже доставать из чехол не охота, время только тратить.
"
4567,"Пылесос сосет нормально, но насадки щетка износилась за 2 уборки. Зарядки хватает на 10 минут. Вообще не успеваю убирать автомобиль.",1,negative,"пылесос сосать нормальный, но насадка щетка изнашиваться за 2 уборка. зарядка хватать на 10 минута. вообще не успевать убирать автомобиль.
"
4568,Скажу так плохо всасывает .Туфта не стоит своих денег,3,negative,"сказать так плохо всасывать .туфта не стоить свой деньги
"
4569,"Удобный, идёт чехол. Мощности маловато",4,positive,"удобный, идти чехол. мощность маловато
"
4570,"Не пылесосит совсем, много звука, а толку нет",1,negative,"не пылесосить совсем, много звук, а толк нет
"
4571,Заряд не держит. Мощность слабая,1,negative,"заряд не держать. мощность слабый
"
4572,"Пришел вовремя. Качество норм. Но маломощный, заряжается быстро и также быстро разряжается. Индикатор зарядки в разряженном состоянии светит зелёным, а в заряженом- красный. Это не критично ,но вводит в заблуждение. Подойдёт только для срочной уборки малого количества бардака. ))) я брала для уборки за попугаями. Перья и шелуху всасывает не плохо. Хватает на1 раз минут на 10.  Не советую, выберите что- то другое.",3,neutral,"приходить вовремя. качество норма. но маломощный, заряжаться быстро и также быстро разряжаться. индикатор зарядка в разряжать состояние светить зеленый, а в заряженый- красный. это не критично ,но вводить в заблуждение. подходить только для срочный уборка малый количество бардак. ))) я брать для уборка за попугай. перо и шелуха всасывать не плохо. хватать на1 раз минута на 10.  не советовать, выбирать что- то другой.
"
4573,Очень плохо пылесосить  детская  игрушка,2,negative,"очень плохо пылесосить  детский  игрушка
"
4574,Не работает кнопка включения,3,negative,"не работать кнопка включение
"
4575,"Ну вау эффекта не было, грязь собирает но что бы начисто надо прям долго водить, если есть возможность пылесосить большим пылесосом то лучше им, плюс реально можно убираться только узкой насадкой, широкая вообще не собирает. Заряда хватило на уборку универсала.",4,negative,"ну вау эффект не быть, грязь собирать но что бы начисто надо прямой долго водить, если быть возможность пылесосить большой пылесос то хорошо они, плюс реально можно убираться только узкий насадка, широкий вообще не собирать. заряд хватить на уборка универсал.
"
4576,"При работе создаёт много шума. Плохо сосет мусор! И где мой шланг, что за отношение к клиенту!!! Требую ВОЗРАТ!!!",1,negative,"при работа создавать много шум. плохо сосать мусор! и где мой шланг, что за отношение к клиент!!! требовать возрат!!!
"
4577,"Немного слабоват, хотелось бы по мощнее",4,negative,"немного слабоватый, хотеться бы по мощный
"
4578,"Товар истинный Китай. При первой работе в течении 1 минуты,  внутри что-то отвалилось и запахло гарью, появились свист, о всасывание и речи нет. Продавцу открыл 2 спора, продавец отклонил что не видел брака. В результате забил. Его разобрал внутри не качественная пластмассовая плавленная турбина, мотор развалился и батарея с проводами всё дешёвое и некачественное. Не рекомендую продавца и товар.",1,negative,"товар истинный китай. при первый работа в течение 1 минута,  внутри что-то отваливаться и запахнуть гарь, появляться свист, о всасывание и речь нет. продавец открывать 2 спор, продавец отклонять что не видеть брак. в результат забивать. он разбирать внутри не качественный пластмассовый плавить турбина, мотор разваливаться и батарея с провод весь дешевый и некачественный. не рекомендовать продавец и товар.
"
4579,"Тянет воздух слабовато, а так всё хорошо",4,neutral,"тянуть воздух слабовато, а так все хорошо
"
4580,"Не заряжается аккумулятор, причина?",3,negative,"не заряжаться аккумулятор, причина?
"
4581,"Легче веником и совком в тачке убраться, мощность вообще никакая! А еще не было насадки, Возврат",1,negative,"легко веник и совок в тачка убираться, мощность вообще никакой! а еще не быть насадка, возврат
"
4582,Не положили в комплект насадку (щетка для пола)!!! Проверяйте комплектацию сразу на пункте. Продавца не советую!,1,negative,"не полагать в комплект насадка (щетка для пол)!!! проверять комплектация сразу на пункт. продавец не советовать!
"
4583,"Игрушка! Отдала детям на игры. Смеюсь над собой, как я могла поверить что это работает, за такие деньги? Но хоть дети рады и на этом спасибо. Даже песочик не засасывает, я уж не говорю про камешки, заряд держит 10 мин. Просьба, Но вы хоть людей то не обманывайте",1,negative,"игрушка! отдавать ребенок на игра. смеяться над себя, как я мочь поверять что это работать, за такой деньги? но хоть ребенок рад и на это спасибо. даже песочик не засасывать, я уж не говорить про камешек, заряд держать 10 мина. просьба, но вы хоть человек то не обманывать
"
4584,"Очень слабенький,плохо тянет .",3,negative,"очень слабенький,плохо тянуть .
"
4585,Детская игрушка не более,4,negative,"детский игрушка не много
"
4586,"Брали на подарок, слабо тянет",4,negative,"брать на подарок, слабо тянуть
"
4587,"Слобоватый, быстро садится",3,negative,"слобоватый, быстро садиться
"
4588,"Хотелось сделать приятное мужу, а в итоге не было обещанной сумки! Как так можно?",1,negative,"хотеться сделать приятный муж, а в итог не быть обещать сумка! как так можно?
"
4589,"Слабоват, а так норм",4,negative,"слабоватый, а так норма
"
4590,Совсем плохо чистит.,1,negative,"совсем плохо чистить.
"
4591,"Пылесос на вид хороший, смотрится классно. Все пришло в комплекте целое, спасибо за подарок)
По назначению ещё не использовала, брала в подарок, дома включила проверить, работает, но тяга конечно не сильная, надеюсь пыль и мелкие крошки в машине уберет",4,positive,"пылесос на вид хороший, смотреться классно. все приходить в комплект целое, спасибо за подарок)
по назначение еще не использовать, брать в подарок, дома включать проверять, работать, но тяга конечно не сильный, надеяться пыль и мелкий крошка в машина убирать
"
4592,"Не пылесос, а бесполезный кусок пластика, если среди таких это мощный, то лучше вообще в сторону мини пылесосов не смотреть, просто пожужжать можно и феном. После 3-4х попыток использований сдох моторчик, вообще круто, деньги на ветер",1,negative,"не пылесос, а бесполезный кусок пластика, если среди такой это мощный, то хорошо вообще в сторона мини пылесос не смотреть, просто пожужжать можно и фен. после 3-4х попытка использование сдыхать моторчик, вообще круто, деньги на ветер
"
4593,"Заказала данный пылесос, если его так можно назвать! Одним словом никакой! Тяги нет, ничего не всасывает! Отзывы такие видимо за 200р.полная ерунда и дениги на ветер!!!",1,negative,"заказывать данный пылесос, если он так можно называть! один слово никакой! тяга нет, ничто не всасывать! отзыв такой видимо за 200р.полный ерунда и дениг на ветер!!!
"
4594,Очень плохое встсываение,1,negative,"очень плохой встсываение
"
4595,"Слабая акома, а так тянет.",3,negative,"слабый аком, а так тянуть.
"
4596,"Пришло все целое, все хорошо, но пылесос не тянет от слова Совсем(( он не может элементарно засосать песок с дорожек в машине, разочарование, теперь даже незнаю куда его применить, на полку положу  и будет пылится. Зря потраченные деньги",4,neutral,"приходить все целое, все хорошо, но пылесос не тянуть от слово совсем(( он не мочь элементарно засасывать песок с дорожка в машина, разочарование, теперь даже незнать куда он применять, на полка полагать  и быть пылиться. зря потратить деньги
"
4597,Мощности нет нифига(,2,negative,"мощность нет нифиг(
"
4598,Батарея долго заряжается и быстро разряжается. Еще и не должили насадку,1,negative,"батарея долго заряжаться и быстро разряжаться. еще и не должать насадка
"
4599,Детская игрушка,3,negative,"детский игрушка
"
4600,"Пылесос только ребенку играть,не засасывает ничего как написано.деньги на ветер,не думала что так скажу но вот оказывается и здесь на деньги разводят",1,negative,"пылесос только ребенок играть,не засасывать ничто как написать.деньги на ветер,не думать что так сказать но вот оказываться и здесь на деньги разводить
"
4601,"Обсолутно нечего не всасывает,",1,negative,"обсолутно нечего не всасывать,
"
4602,Слабенький очень,3,negative,"слабенький очень
"
4603,"Малыш справляется хорошо, мощности хватает
Не ожиданно даже
В эксплуатации один день, не знаю на сколько его хватит😊",4,positive,"малыш справляться хорошо, мощность хватать
не ожиданно даже
в эксплуатация один день, не знать на сколько он хватить😊
"
4604,Мощность слабовата,3,negative,"мощность слабоватый
"
4605,Слабая мощность,3,negative,"слабый мощность
"
4606,Объективно слабоват,3,negative,"объективно слабоватый
"
4607,"ДА, товар новый, качественно собран.,НО_ не известно какой АКБ, на сколько соответствует карточке продавца не доказано, взял на свой страх и риск. ЦЕНА ТОВАРА ЗАВЫШЕНА на 60%, Адаптера для АВТО нет, с подключенной зарядкой не работает. рекомендация для полной зарядки 5 часов. в инструкции не указанно все свойство пылесоса. ВСЕ ЧТО НАПИСАНО В КАРТОЧКЕ это только для продажи, чтоб покупали.",3,negative,"да, товар новый, качественно собирать.,но_ не известно какой акб, на сколько соответствовать карточка продавец не доказывать, взять на свой страх и риск. цена товар завышать на 60%, адаптер для авто нет, с подключать зарядка не работать. рекомендация для полный зарядка 5 час. в инструкция не указанный весь свойство пылесос. все что написать в карточка это только для продажа, чтоб покупать.
"
4608,"Не советую брать этот пылесос!!! На вид красивый,сумочка и разные комплектующие, но свою функцию не выполняет. Те кто пишет типа он четко пылесосит, не верьте. Автомобиль пришлось пылесосить домашним пылесосом. В общем деньги на ветер.",1,negative,"не советовать брать этот пылесос!!! на вид красивый,сумочка и разный комплектующий, но свой функция не выполнять. тот кто писать тип он четко пылесосить, не верить. автомобиль приходиться пылесосить домашний пылесос. в общий деньги на ветер.
"
4609,"Удобный пылесос, достаточно компактный. В комплекте есть чехол для него
Мощности для уборки дома хватает: для пыли в труднодоступных местах и пр. Но для уборки в машине слабоват, мелкие крошки не всасываются
В целом, к покупке рекомендую, цена приятная🥹",4,positive,"удобный пылесос, достаточно компактный. в комплект быть чехол для он
мощность для уборка дом хватать: для пыль в труднодоступный место и пр. но для уборка в машина слабоватый, мелкий крошка не всасываться
в целое, к покупка рекомендовать, цена приятный🥹
"
4610,Слабо тянет,3,negative,"слабо тянуть
"
4611,Товар пришел в идеале...но на проверку оказался не мощный. Таким пылесосом только пыль с сидений и ковриков собирать. Слабая мощность. Не заявленная продавцом.,3,negative,"товар приходить в идеал...но на проверка оказываться не мощный. такой пылесос только пыль с сидение и коврик собирать. слабый мощность. не заявлять продавец.
"
4612,"Не знаю как писали до этого отличные отзывы . Когда пришел заказ , проверила на вб , у него вообще минимальное всасывание . Не советую !!!!",1,negative,"не знать как писать до это отличный отзыв . когда приходить заказ , проверять на вб , у он вообще минимальный всасывание . не советовать !!!!
"
4613,"Не мощный от слова совсем, еле еле из щелей высасывает мусор, не советую приобретать в надежде что после одного прохождения все соринки окажутся в пылесосе, нужно давить и проходится несколько раз.",3,negative,"не мощный от слово совсем, еле еле из щель высасывать мусор, не советовать приобретать в надежда что после один прохождение весь соринка оказываться в пылесос, нужно давить и проходиться несколько раз.
"
4614,Рваная коробка приехала. Брала на подарок...,1,negative,"рваный коробка приезжать. брать на подарок...
"
4615,"Маломощный, половину мусора не засасывает. Зарядка держится мин 20, не более. Причем не подряд. После полной зарядки пылесосила 1 день по 2-3 мин в каждой комнате. На следующий день акум сдох, нужно заряжать. Бесполезный, хотя задумка хорошая",1,negative,"маломощный, половина мусор не засасывать. зарядка держаться мина 20, не много. причем не подряд. после полный зарядка пылесосить 1 день по 2-3 мина в каждый комната. на следующий день акум сдыхать, нужно заряжать. бесполезный, хотя задумка хороший
"
4616,Слабый очень,1,negative,"слабый очень
"
4617,"Заряд кончился и всё, работать перестал, и менять не хотят. Не советую у них что то покупать.",1,negative,"заряд кончаться и все, работать переставать, и менять не хотеть. не советовать у они что то покупать.
"
4618,"Ужасное качество. Отзывы все купленные. Вообще ничего не работает, проще веником подмести. Деньги на ветер выбросить, купить ваш пылесос. Товар вернуть не возможно, на сообщение и чат с продавцом не отвечаете, по браку товар не принимаете. Ужасный и безответственный продавец. Никому не рекомендую приобретать у вас товар. Деньги на ветер выброшены и бесполезный пылесос дома теперь.",1,negative,"ужасный качество. отзыв весь купить. вообще ничто не работать, просто веник подмести. деньги на ветер выбрасывать, купить ваш пылесос. товар вернуть не возможный, на сообщение и чат с продавец не отвечать, по брак товар не принимать. ужасный и безответственный продавец. никто не рекомендовать приобретать у вы товар. деньги на ветер выбрасывать и бесполезный пылесос дом теперь.
"
4619,Нет фильтра в подарок,3,negative,"нет фильтр в подарок
"
4620,"Вайлдберриз! Я от вас такого не ожидал! За место автопылесоса мне выдали 😂 эл. удлинитель. Я понимаю можно ошибиться, НО ТАК!
Просто возмутительно!!!
На  *** хоть и немного дороже, но там люди работают и межсортицы нет! Научитесь работать!",1,negative,"вайлдберриз! я от вы такой не ожидать! за место автопылесос я выдавать 😂 эл. удлинитель. я понимать можно ошибаться, но так!
просто возмутительно!!!
на  *** хоть и немного дорого, но там человек работать и межсортица нет! научаться работать!
"
4621,Слабоват.,4,negative,"слабоватый.
"
4622,"Набор приятный, а сосёт слабо прям как бывшая. Покупал для ковра, слабо убирает, все не засасет",3,negative,"набор приятный, а сосать слабо прямой как бывший. покупать для ковер, слабо убирать, все не засасти
"
4623,Слабоват!!!,4,negative,"слабоватый!!!
"
4624,"Если хотите выкинуть денег, можете купить это 😁 такая фигня, а про пылесос сильно написано 🤣",2,negative,"если хотеть выкидывать деньги, мочь купить это 😁 такой фигня, а про пылесос сильно написать 🤣
"
4625,Не покупайте. Шумит не высасывает пылесос. Хотела сделать возврат товара много раз пыталась возврат но мне отказывали. Жалко даже копейку на это дать.,1,negative,"не покупать. шуметь не высасывать пылесос. хотеть сделать возврат товар много раз пытаться возврат но я отказывать. жалко даже копейка на это давать.
"
4626,"Не покупайте. почитайте вопросы к товару, они все про возврат. Жаль я не прочитал перед покупкой. ТОВАР ВЕРНУТЬ НЕВОЗМОЖНО!!! Нет фильтра в комплекте. При зарядке индикатор должен гореть либо красным, либо зеленым когда зарядился. А он мигает сразу двумя. Товар вернуть невозможно.",1,negative,"не покупать. почитать вопрос к товар, они все про возврат. жаль я не прочитывать перед покупка. товар вернуть невозможно!!! нет фильтр в комплект. при зарядка индикатор должный гореть либо красный, либо зеленый когда заряжаться. а он мигать сразу два. товар вернуть невозможно.
"
4627,"Собрать крошки, мелкие камешки может, а так слабоват, одной зарядки хватает пропылесосить всю машину",4,negative,"собирать крошка, мелкий камешек может, а так слабоватый, один зарядка хватать пропылесосить весь машина
"
4628,"Пылесос не очень то и втягивает, мелкий песок втягивать не может, только пыль и пушинки.  Не оправдал ожидания",3,negative,"пылесос не очень то и втягивать, мелкий песок втягивать не мочь, только пыль и пушинка.  не оправдывать ожидание
"
4629,"Оставлю вам ЧЕСТНЫЙ ОТЗЫВ, не слушайте никого. Пылесос когда включаешь просто шумит и всё, сосёт очень слабо. Не ждите прям вау эффекта, то чего вы ожидаете, не получите .",3,negative,"оставлять вы честный отзыв, не слушать никто. пылесос когда включать просто шуметь и все, сосать очень слабо. не ждать прямой вау эффект, то чего вы ожидать, не получать .
"
4630,"Слабенький. В машине в основном песок надо убрать. А он крошки от печенья с трудом всосал. Удобный, хорошо, что беспроводной, аккумулятор заряжается быстро от розетки, чехол и насадки в комплекте. Только плохо всасывает.",1,negative,"слабенький. в машина в основной песок надо убирать. а он крошка от печение с труд всасывать. удобный, хорошо, что беспроводной, аккумулятор заряжаться быстро от розетка, чехол и насадка в комплект. только плохо всасывать.
"
4631,"Отвратительно, обман, хотя комплектация в норме но все заявленные характеристики меньше ботарея вместо 4000 оказалась 2000, работает только 15 мин, мощность всасывания такая что даже песок с коврика не соберает",1,negative,"отвратительно, обман, хотя комплектация в норма но весь заявлять характеристика маленький ботарея вместо 4000 оказываться 2000, работать только 15 мина, мощность всасывание такой что даже песок с коврик не собераться
"
4632,Хороший. достаточно мощный пылесос для своей категории. Порадовала упаковка товара. Сумка в наличии. Нет запасных фильтров.,4,positive,"хороший. достаточно мощный пылесос для свой категория. порадовать упаковка товар. сумка в наличие. нет запасный фильтр.
"
4633,"Слабоват, с войлочного покрытия в машине мусор не убирает…. Полной зарядки с трудом хватает убрать машину…",4,negative,"слабоватый, с войлочный покрытие в машина мусор не убирать…. полный зарядка с труд хватать убирать машина…
"
4634,"Ооочень слабый. Справляется только с пылью и шерстью. И то на гладкой поверхности, с мебели уже не всасывает Ну на крайняк еще песок всасывает . с камушками мелкими, например из кошачьего наполнителя, уже не справляется. Экземпляр за 800 руб выполняет все те же функции. У этого цена выше только за комплектацию, за количество дополнительных насадок",1,negative,"ооочень слабый. справляться только с пыль и шерсть. и то на гладкий поверхность, с мебель уже не всасывать ну на крайняк еще песок всасывать . с камушек мелкий, например из кошачий наполнитель, уже не справляться. экземпляр за 800 руб выполнять весь тот же функция. у этот цена высоко только за комплектация, за количество дополнительный насадка
"
